country,abrev,year,govt_spending_percent_gdp
Canada,CAN,1900,0
Canada,CAN,1910,0
Canada,CAN,1920,0.06
Canada,CAN,1930,0.31
Canada,CAN,1960,8.117736532
Canada,CAN,1961,8.396542221
Canada,CAN,1962,8.357319358
Canada,CAN,1963,8.290315209
Canada,CAN,1964,8.196586418
Canada,CAN,1965,7.937770546
Canada,CAN,1966,8.075592063
Canada,CAN,1967,8.829456762
Canada,CAN,1968,9.369240535
Canada,CAN,1969,9.720853383
Canada,CAN,1970,10.48436839
Canada,CAN,1971,11.36838633
Canada,CAN,1972,12.12909131
Canada,CAN,1973,12.14316779
Canada,CAN,1974,12.53374604
Canada,CAN,1975,13.67648823
Canada,CAN,1976,13.37451818
Canada,CAN,1977,13.595433
Canada,CAN,1978,13.39408899
Canada,CAN,1979,12.90118654
Canada,CAN,1980,13.306
Canada,CAN,1985,16.418
Canada,CAN,1990,17.546
Canada,CAN,1995,18.354
Canada,CAN,2000,15.763
Canada,CAN,2005,16.138
Canada,CAN,2010,17.547
Canada,CAN,2013,16.878
Canada,CAN,2014,16.818
